,High School,# of SAT Takers in 2014,Avg SAT Critical Reading Score in 2014,Avg SAT Math Scores in 2014,Avg SAT Writing Scores in 2014
08X312,MILLENNIUM ART ACADEMY,70,405,396,393
08X332,HOLCOMBE L. RUCKER SCHOOL OF COMMUNITY RESEARCH,41,380,364,364
08X367,"ARCHIMEDES ACADEMY FOR MATH, SCIENCE AND TECHNOLOGY APPLICATIONS",43,427,412,390
08X376,"ANTONIA PANTOJA PREPARATORY ACADEMY, A COLLEGE BOARD SCHOOL",34,387,402,386
08X405,HERBERT H. LEHMAN HIGH SCHOOL,324,414,437,400
08X408,HERBERT H. LEHMAN YABC,6,368,335,340
08X452,BRONX GUILD,29,370,357,363
08X507,STEVENSON YABC,s,s,s,s
08X519,"FELISA RINCON DE GAUTIER INSTITUTE FOR LAW AND PUBLIC POLICY, THE",25,424,407,396
08X530,BANANA KELLY HIGH SCHOOL,44,339,338,339
08X537,BRONX ARENA HIGH SCHOOL,13,389,367,376
08X540,SCHOOL FOR COMMUNITY RESEARCH AND LEARNING,6,438,420,422
08X650,JANE ADDAMS HIGH SCHOOL FOR ACADEMIC CAREERS,66,375,368,369
09X227,BRONX EXPEDITIONARY LEARNING HIGH SCHOOL,35,391,419,405
09X231,EAGLE ACADEMY FOR YOUNG MEN,75,398,400,372
09X239,"URBAN ASSEMBLY ACADEMY FOR HISTORY AND CITIZENSHIP FOR YOUNG MEN, THE",17,349,327,335
09X241,"URBAN ASSEMBLY SCHOOL FOR APPLIED MATH AND SCIENCE, THE",64,393,419,394
09X250,EXIMIUS COLLEGE PREPARATORY ACADEMY: A COLLEGE BOARD SCHOOL,60,383,373,392
09X252,MOTT HALL BRONX HIGH SCHOOL,62,365,341,349
09X260,BRONX CENTER FOR SCIENCE AND MATHEMATICS,90,459,506,457
09X263,VALIDUS PREPARATORY ACADEMY: AN EXPEDITIONARY LEARNING SCHOOL,60,369,369,372
09X276,LEADERSHIP INSTITUTE,35,342,327,340
09X297,MORRIS ACADEMY FOR COLLABORATIVE STUDIES,41,393,401,385
09X324,BRONX EARLY COLLEGE ACADEMY FOR TEACHING & LEARNING,54,396,386,372
09X329,DREAMYARD PREPARATORY SCHOOL,41,355,345,366
09X365,ACADEMY FOR LANGUAGE AND TECHNOLOGY,68,326,331,303
09X403,BRONX INTERNATIONAL HIGH SCHOOL,61,324,330,321
09X404,SCHOOL FOR EXCELLENCE,34,339,338,339
09X412,BRONX HIGH SCHOOL OF BUSINESS,48,367,344,352
09X413,BRONX HIGH SCHOOL FOR MEDICAL SCIENCE,65,423,445,419
09X414,JONATHAN LEVIN HIGH SCHOOL FOR MEDIA AND COMMUNICATIONS,27,351,327,358
09X505,"BRONX SCHOOL FOR LAW, GOVERNMENT AND JUSTICE",95,422,407,413
09X517,FREDERICK DOUGLASS ACADEMY III SECONDARY SCHOOL,51,391,394,385
09X525,BRONX LEADERSHIP ACADEMY HIGH SCHOOL,105,380,394,380
09X543,HIGH SCHOOL FOR VIOLIN AND DANCE,22,358,353,350
10X141,RIVERDALE / KINGSBRIDGE ACADEMY (MIDDLE SCHOOL / HIGH SCHOOL 141),112,462,458,446
10X213,BRONX ENGINEERING AND TECHNOLOGY ACADEMY,45,385,411,372
10X225,THEATRE ARTS PRODUCTION COMPANY SCHOOL,59,397,383,388
10X237,"THE MARIE CURIE SCHOOL FOR MEDICINE, NURSING, AND HEALTH PROFESSIONS",86,394,388,400
10X243,WEST BRONX ACADEMY FOR THE FUTURE,45,377,390,365
10X268,KINGSBRIDGE INTERNATIONAL HIGH SCHOOL,64,321,363,307
10X284,BRONX SCHOOL OF LAW AND FINANCE,54,390,400,379
10X319,PROVIDING URBAN LEARNERS SUCCESS IN EDUCATION HIGH SCHOOL,s,s,s,s
10X342,INTERNATIONAL SCHOOL FOR LIBERAL ARTS,23,356,380,354
10X368,IN-TECH ACADEMY (M.S. / HIGH SCHOOL 368),103,427,426,409
10X374,KNOWLEDGE AND POWER PREPARATORY ACADEMY INTERNATIONAL HIGH SCHOOL (KAPPA),72,411,411,401
10X397,ENGLISH LANGUAGE LEARNERS AND INTERNATIONAL SUPPORT PREPARATORY ACADEMY (ELLIS),16,296,336,326
10X430,WALTON HS,5,410,356,376
10X433,HIGH SCHOOL FOR TEACHING AND THE PROFESSIONS,67,363,358,356
10X434,BELMONT PREPARATORY HIGH SCHOOL,56,400,387,403
10X437,FORDHAM HIGH SCHOOL FOR THE ARTS,68,390,385,388
10X438,FORDHAM LEADERSHIP ACADEMY FOR BUSINESS AND TECHNOLOGY,46,362,362,358
10X439,BRONX HIGH SCHOOL FOR LAW AND COMMUNITY SERVICE,57,395,378,377
10X440,DEWITT CLINTON HIGH SCHOOL,336,408,422,404
10X442,"CELIA CRUZ BRONX HIGH SCHOOL OF MUSIC, THE",73,421,416,417
10X445,BRONX HIGH SCHOOL OF SCIENCE,744,641,698,652
10X475,JOHN F. KENNEDY HIGH SCHOOL,31,344,342,343
10X477,MARBLE HILL HIGH SCHOOL FOR INTERNATIONAL STUDIES,87,392,422,394
10X503,WALTON YABC,s,s,s,s
10X546,BRONX THEATRE HIGH SCHOOL,64,382,379,383
10X549,DISCOVERY HIGH SCHOOL,52,386,418,386
10X660,GRACE DODGE CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,75,374,355,347
10X667,GRACE DODGE YABC,s,s,s,s
10X696,HIGH SCHOOL OF AMERICAN STUDIES AT LEHMAN COLLEGE,93,651,660,636
11X249,BRONX HEALTH SCIENCES HIGH SCHOOL,67,415,427,409
11X253,BRONX HIGH SCHOOL FOR WRITING AND COMMUNICATION ARTS,46,413,372,404
11X265,BRONX LAB SCHOOL,75,396,375,374
11X270,ACADEMY FOR SCHOLARSHIP AND ENTREPRENEURSHIP: A COLLEGE BOARD SCHOOL,50,383,356,381
11X275,HIGH SCHOOL OF COMPUTERS AND TECHNOLOGY,81,379,385,368
11X288,COLLEGIATE INSTITUTE FOR MATH AND SCIENCE,99,436,445,420
11X290,BRONX ACADEMY OF HEALTH CAREERS,55,389,389,403
11X299,ASTOR COLLEGIATE ACADEMY,49,419,420,421
11X415,CHRISTOPHER COLUMBUS HIGH SCHOOL,49,392,397,376
11X417,YOUNG ADULT BOROUGH CNTR CHRISTOPHER COLUMBUS HS,s,s,s,s
11X418,BRONX HIGH SCHOOL FOR THE VISUAL ARTS,46,428,418,411
11X425,EVANDER CHILDS HS,s,s,s,s
11X455,HARRY S TRUMAN HIGH SCHOOL,171,390,385,384
11X513,NEW WORLD HIGH SCHOOL,71,335,367,324
11X514,THE BRONXWOOD PREPARATORY ACADEMY,58,381,367,353
11X541,GLOBAL ENTERPRISE HIGH SCHOOL,25,361,342,338
11X542,PELHAM PREPARATORY ACADEMY,79,414,408,403
11X544,HIGH SCHOOL FOR CONTEMPORARY ARTS,49,360,367,348
11X545,BRONX AEROSPACE HIGH SCHOOL,43,414,372,371
12X242,MOTT HALL V SCHOOL  ,67,382,419,391
12X245,NEW DAY ACADEMY,s,s,s,s
12X248,"METROPOLITAN HIGH SCHOOL, THE",55,364,370,355
12X251,EXPLORATIONS ACADEMY,56,352,364,351
12X262,PERFORMANCE CONSERVATORY HIGH SCHOOL,11,376,377,365
12X267,BRONX LATIN,51,381,393,390
12X271,EAST BRONX ACADEMY FOR THE FUTURE,41,394,395,383
12X278,PEACE AND DIVERSITY ACADEMY,29,310,341,319
12X372,THE URBAN ASSEMBLY SCHOOL FOR WILDLIFE CONSERVATION,41,399,404,405
